               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.030985,           0.0036282,                   0,             0.91313,             0.93137,             0.92892,             0.46369,            0.036137,           0.0043954,                   0,           0.0026316,           0.0026316,           0.0026316
                  38,            0.031507,           0.0036471,                   0,             0.89814,             0.95094,             0.93975,             0.50523,            0.035569,           0.0042482,                   0,           0.0024195,           0.0024195,           0.0024195
                  39,            0.030062,           0.0037988,                   0,             0.90288,             0.91139,             0.93626,             0.51898,            0.033973,           0.0042142,                   0,           0.0022196,           0.0022196,           0.0022196
                  40,            0.028884,           0.0040917,                   0,             0.90087,             0.89216,              0.9138,             0.47185,            0.034833,           0.0042504,                   0,           0.0020327,           0.0020327,           0.0020327
                  41,            0.029695,           0.0036903,                   0,             0.89524,             0.92157,             0.92726,              0.4882,            0.034676,           0.0042184,                   0,           0.0018594,           0.0018594,           0.0018594
                  42,            0.028766,           0.0037485,                   0,             0.89709,             0.94118,              0.9293,             0.50779,            0.034945,           0.0041648,                   0,           0.0017005,           0.0017005,           0.0017005
                  43,            0.029414,           0.0035374,                   0,             0.91083,             0.90196,             0.92607,             0.52819,            0.033534,           0.0041973,                   0,           0.0015566,           0.0015566,           0.0015566
                  44,            0.028277,           0.0036173,                   0,             0.88888,             0.94118,             0.92836,             0.51158,            0.034117,            0.004118,                   0,           0.0014283,           0.0014283,           0.0014283
                  45,            0.027912,           0.0033323,                   0,             0.89079,             0.96078,             0.93018,             0.49863,            0.033581,           0.0041204,                   0,            0.001316,            0.001316,            0.001316
                  46,            0.027301,           0.0034502,                   0,             0.88969,             0.95098,             0.92453,             0.50821,            0.032915,           0.0040781,                   0,           0.0012202,           0.0012202,           0.0012202
                  47,             0.02714,           0.0034529,                   0,             0.88777,             0.93065,             0.91324,             0.50361,            0.033721,           0.0041446,                   0,           0.0011414,           0.0011414,           0.0011414
                  48,            0.026642,           0.0031973,                   0,             0.91919,             0.89211,             0.90801,             0.50701,            0.034479,           0.0042212,                   0,           0.0010797,           0.0010797,           0.0010797
                  49,            0.026669,           0.0034689,                   0,             0.88676,             0.92157,             0.90678,             0.47943,            0.035424,           0.0042324,                   0,           0.0010355,           0.0010355,           0.0010355
