               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.028549,           0.0065029,                   0,              0.9008,              0.9009,             0.91917,               0.501,            0.037519,           0.0046881,                   0,           0.0026316,           0.0026316,           0.0026316
                  38,              0.0285,           0.0069377,                   0,             0.92574,              0.9009,             0.93603,             0.50419,             0.03696,           0.0046746,                   0,           0.0024195,           0.0024195,           0.0024195
                  39,            0.027414,           0.0062783,                   0,             0.90988,             0.90991,             0.91668,              0.5131,            0.037263,           0.0047088,                   0,           0.0022196,           0.0022196,           0.0022196
                  40,            0.028159,            0.006632,                   0,             0.89474,             0.91891,             0.92334,             0.49679,            0.037537,           0.0046884,                   0,           0.0020327,           0.0020327,           0.0020327
                  41,            0.027407,           0.0065152,                   0,             0.91817,             0.90972,             0.91327,             0.50778,             0.03743,           0.0046742,                   0,           0.0018594,           0.0018594,           0.0018594
                  42,            0.027344,           0.0064642,                   0,             0.89186,             0.89189,             0.90326,             0.50681,            0.036784,           0.0047285,                   0,           0.0017005,           0.0017005,           0.0017005
                  43,            0.026727,           0.0061776,                   0,             0.91665,             0.89189,             0.92733,             0.50788,            0.037385,           0.0047487,                   0,           0.0015566,           0.0015566,           0.0015566
                  44,            0.027395,           0.0064947,                   0,             0.88026,             0.92793,             0.92613,             0.51439,            0.036733,           0.0047099,                   0,           0.0014283,           0.0014283,           0.0014283
                  45,            0.026288,           0.0064368,                   0,             0.91429,             0.86486,             0.92106,             0.52435,            0.036245,           0.0046946,                   0,            0.001316,            0.001316,            0.001316
                  46,            0.026635,           0.0063501,                   0,             0.90904,              0.9009,              0.9152,             0.51562,            0.036347,            0.004712,                   0,           0.0012202,           0.0012202,           0.0012202
                  47,             0.02599,           0.0063469,                   0,             0.94282,             0.89189,             0.93327,             0.51428,            0.036336,           0.0046823,                   0,           0.0011414,           0.0011414,           0.0011414
                  48,            0.025926,           0.0065947,                   0,             0.90178,             0.90984,             0.93604,             0.51496,             0.03641,           0.0047344,                   0,           0.0010797,           0.0010797,           0.0010797
                  49,            0.026036,            0.006323,                   0,             0.90178,             0.90984,               0.945,             0.52575,            0.036608,             0.00467,                   0,           0.0010355,           0.0010355,           0.0010355
